dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number
B00009,2019-10-01 00:23:00,2019-10-01 00:35:00,264,264,,B00009
B00013,2019-10-01 00:11:29,2019-10-01 00:13:22,264,264,,B00013
B00014,2019-10-01 00:11:43,2019-10-01 00:37:20,264,264,,B00014
B00014,2019-10-01 00:56:29,2019-10-01 00:57:47,264,264,,B00014
B00014,2019-10-01 00:23:09,2019-10-01 00:28:27,264,264,,B00014
B00021         ,2019-10-01 00:00:48,2019-10-01 00:07:12,129,129,,B00021         
B00021         ,2019-10-01 00:47:23,2019-10-01 00:53:25,57,57,,B00021         
B00021         ,2019-10-01 00:10:06,2019-10-01 00:19:50,173,173,,B00021         
B00021         ,2019-10-01 00:51:37,2019-10-01 01:06:14,226,226,,B00021         
B00021         ,2019-10-01 00:28:23,2019-10-01 00:34:33,56,56,,B00021         
B00021         ,2019-10-01 00:31:17,2019-10-01 00:51:52,82,82,,B00021         
B00037,2019-10-01 00:07:41,2019-10-01 00:15:23,264,71,,B00037
B00037,2019-10-01 00:13:38,2019-10-01 00:25:51,264,39,,B00037
B00037,2019-10-01 00:42:40,2019-10-01 00:53:47,264,188,,B00037
B00037,2019-10-01 00:58:46,2019-10-01 01:10:11,264,91,,B00037
B00037,2019-10-01 00:09:49,2019-10-01 00:14:37,264,71,,B00037
B00037,2019-10-01 00:22:35,2019-10-01 00:36:53,264,35,,B00037
B00037,2019-10-01 00:54:27,2019-10-01 01:03:37,264,61,,B00037
B00037,2019-10-01 00:08:12,2019-10-01 00:28:47,264,198,,B00037
B00053,2019-10-01 00:05:24,2019-10-01 00:53:03,264,264,,#N/A
B00053,2019-10-01 00:03:32,2019-10-01 00:51:11,264,264,,B00888
B00053,2019-10-01 00:23:26,2019-10-01 00:41:13,264,264,,B00053
B00111,2019-10-01 00:47:58,2019-10-01 00:57:59,264,80,,B00111
B00111,2019-10-01 00:37:57,2019-10-01 01:06:06,264,244,,B00111
B00111,2019-10-01 00:15:59,2019-10-01 00:37:01,264,244,,B00111
B00111,2019-10-01 00:31:59,2019-10-01 00:56:59,264,51,,B00111
B00111,2019-10-01 00:27:59,2019-10-01 01:11:16,264,265,,B00111
B00160,2019-10-01 00:55:00,2019-10-01 00:59:00,264,264,,B00160
B00160,2019-10-01 00:13:00,2019-10-01 00:51:00,264,264,,B00160
B00160,2019-10-01 00:11:00,2019-10-01 00:26:00,264,264,,B00160
B00160,2019-10-01 00:55:00,2019-10-01 01:28:00,264,264,,B00160
B00225,2019-10-01 00:03:50,2019-10-01 00:09:38,264,4,,B00225
B00225,2019-10-01 00:28:50,2019-10-01 00:49:13,264,47,,B00225
B00225,2019-10-01 00:55:33,2019-10-01 01:03:42,264,45,,B00225
B00227,2019-10-01 00:39:00,2019-10-01 01:52:00,264,264,,B00227
B00227,2019-10-01 00:04:09,2019-10-01 00:50:00,264,264,,B00227
B00235,2019-10-01 00:07:50,2019-10-01 00:16:59,264,264,,B00235
B00254,2019-10-01 00:08:12,2019-10-01 00:38:01,163,225,,B00254
B00254,2019-10-01 00:55:54,2019-10-01 01:02:28,100,233,,B00254
B00254,2019-10-01 00:04:14,2019-10-01 00:16:14,13,257,,B00254
B00254,2019-10-01 00:58:06,2019-10-01 01:06:49,48,24,,B00254
B00254,2019-10-01 00:03:55,2019-10-01 00:36:09,161,53,,B00254
B00254,2019-10-01 00:52:52,2019-10-01 01:09:52,13,143,,B00254
B00254,2019-10-01 00:39:19,2019-10-01 00:48:40,143,68,,B00254
B00254,2019-10-01 00:41:09,2019-10-01 01:17:42,162,265,,B00254
B00254,2019-10-01 00:55:00,2019-10-01 01:16:27,230,17,,B00254
B00254,2019-10-01 00:03:14,2019-10-01 00:41:39,100,91,,B00254
B00254,2019-10-01 00:31:20,2019-10-01 00:45:55,13,265,,B00254
B00254,2019-10-01 00:12:32,2019-10-01 01:02:02,125,265,,B00254
B00254,2019-10-01 00:04:04,2019-10-01 00:18:32,161,236,,B00254
B00254,2019-10-01 00:49:14,2019-10-01 01:27:05,13,265,,B00254
B00254,2019-10-01 00:47:35,2019-10-01 01:23:59,13,36,,B00254
B00254,2019-10-01 00:25:59,2019-10-01 01:01:44,161,210,,B00254
B00254,2019-10-01 00:19:29,2019-10-01 00:45:59,132,141,,B00254
B00256,2019-10-01 00:40:21,2019-10-01 01:10:31,264,264,,B00256
B00256,2019-10-01 00:51:13,2019-10-01 01:16:32,264,264,,B00256
B00256,2019-10-01 00:05:46,2019-10-01 01:12:30,264,264,,B00256
B00256,2019-10-01 00:10:25,2019-10-01 00:51:33,264,264,,B00256
B00256,2019-10-01 00:02:48,2019-10-01 00:39:57,264,264,,B02759
B00271,2019-10-01 00:38:32,2019-10-01 00:50:27,264,265,,B00271
B00271,2019-10-01 00:14:01,2019-10-01 00:57:36,264,265,,B00271
B00271,2019-10-01 00:00:44,2019-10-01 00:34:11,264,174,,B00271
B00271,2019-10-01 00:15:29,2019-10-01 00:32:50,264,152,,B00271
B00271,2019-10-01 00:22:30,2019-10-01 00:32:51,264,145,,B02617
B00271,2019-10-01 00:12:02,2019-10-01 00:16:46,264,48,,B00271
B00271,2019-10-01 00:01:35,2019-10-01 00:31:09,264,14,,B00271
B00271,2019-10-01 00:08:13,2019-10-01 00:09:13,264,161,,B00271
B00271,2019-10-01 00:59:22,2019-10-01 01:05:48,264,233,,B02880
B00271,2019-10-01 00:00:25,2019-10-01 00:32:49,264,182,,B00271
B00271,2019-10-01 00:12:23,2019-10-01 00:13:35,264,161,,B00271
B00271,2019-10-01 00:19:59,2019-10-01 00:48:48,264,265,,B00271
B00271,2019-10-01 00:05:15,2019-10-01 00:05:33,264,88,,B00271
B00271,2019-10-01 00:11:01,2019-10-01 00:30:24,264,265,,B00271
B00272,2019-10-01 00:30:00,2019-10-01 01:05:00,264,264,,B00272
B00272,2019-10-01 00:09:37,2019-10-01 01:13:00,264,264,,B00272
B00277,2019-10-01 00:19:37,2019-10-01 00:45:40,264,264,,B00277
B00280,2019-10-01 00:06:04,2019-10-01 00:53:43,264,264,,B00280
B00280,2019-10-01 00:12:20,2019-10-01 00:59:59,264,264,,B00280
B00280,2019-10-01 00:51:58,2019-10-01 01:20:48,264,264,,B00280
B00296,2019-10-01 00:58:49,2019-10-01 01:04:31,264,264,,B00296
B00296,2019-10-01 00:26:36,2019-10-01 01:10:07,264,264,,B00296
B00296,2019-10-01 00:26:16,2019-10-01 01:17:44,264,264,,B00296
B00310,2019-10-01 00:11:22,2019-10-01 00:22:56,264,69,,B02864
B00310,2019-10-01 00:32:09,2019-10-01 01:08:38,264,243,,B00310
B00310,2019-10-01 00:28:23,2019-10-01 00:33:43,264,212,,B02864
B00310,2019-10-01 00:14:55,2019-10-01 00:20:30,264,126,,B02836
B00310,2019-10-01 00:56:30,2019-10-01 01:02:52,264,126,,B00310
B00310,2019-10-01 00:03:38,2019-10-01 00:26:00,264,247,,B02887
B00310,2019-10-01 00:57:49,2019-10-01 01:03:55,264,168,,B02887
B00310,2019-10-01 00:36:57,2019-10-01 00:59:03,264,18,,B00310
B00310,2019-10-01 00:58:05,2019-10-01 01:12:54,264,147,,B00310
B00310,2019-10-01 00:18:10,2019-10-01 00:26:24,264,242,,B00310
B00310,2019-10-01 00:48:02,2019-10-01 00:53:41,264,248,,B02889
B00310,2019-10-01 00:36:49,2019-10-01 00:41:40,264,213,,B02864
B00310,2019-10-01 00:12:11,2019-10-01 00:28:41,264,254,,B00310
B00310,2019-10-01 00:06:02,2019-10-01 00:14:04,264,242,,B00310
B00310,2019-10-01 00:03:43,2019-10-01 00:07:26,264,213,,B02534
B00310,2019-10-01 00:37:14,2019-10-01 00:51:58,264,241,,B02879
B00310,2019-10-01 00:42:41,2019-10-01 00:54:42,264,213,,B02875
